Quiz Link ID,Topic Name,Topic URL,Questions JSON,Created At

245523d8-0683-42a5-b566-fde1a9bea7ef,AI development,,"[{""id"":""c8c243d5-8035-4ccd-bb17-0393fc73b117"",""question"":""What was the total value of global private investment in AI in 2024?"",""category"":""AI investment"",""actualValue"":2024,""sources"":[{""name"":""Stanford HAI 2025 AI Index Report"",""url"":""https://hai.stanford.edu/ai-index/2025-ai-index-report/economy""},{""name"":""Voronoi – AI Private Investment: A Global Breakdown in 2024"",""url"":""https://www.voronoiapp.com/technology/AI-Private-Investment-A-Global-Breakdown-in-2024-6637""},{""name"":""Statista – Private investments in AI in selected countries 2024"",""url"":""https://www.statista.com/statistics/1472607/private-investments-ai-in-selected-countries/""}],""confidence"":""high""},{""id"":""073a1b28-147d-4ee4-9a91-27ec09f5c23a"",""question"":""As of 2025, approximately how many people are working in the AI sector worldwide?"",""category"":""AI workforce size"",""actualValue"":2025,""sources"":[{""name"":""PwC – The Fearless Future: 2025 Global AI Jobs Barometer"",""url"":""https://www.pwc.com/gx/en/issues/artificial-intelligence/ai-jobs-barometer.html""},{""name"":""Stanford HAI – 2025 AI Index Report"",""url"":""https://hai.stanford.edu/ai-index/2025-ai-index-report""},{""name"":""Kaggle – Global AI Job Market & Salary Trends 2025"",""url"":""https://www.kaggle.com/datasets/bismasajjad/global-ai-job-market-and-salary-trends-2025""}],""confidence"":""medium""},{""id"":""b88d2a8a-9dea-479c-be8d-446a3f5734d6"",""question"":""What percentage of organizations reported using AI in 2024?"",""category"":""AI adoption by organizations"",""actualValue"":78,""sources"":[{""name"":""McKinsey - The State of AI Global Survey"",""url"":""https://www.mckinsey.com/capabilities/quantumblack/our-insights/the-state-of-ai""},{""name"":""Stanford HAI - 2025 AI Index Report"",""url"":""https://hai.stanford.edu/ai-index/2025-ai-index-report""},{""name"":""G2 Learning Hub - Global AI Adoption Statistics"",""url"":""https://learn.g2.com/ai-adoption-statistics""},{""name"":""U.S. Census Bureau - Technology Impact Analysis"",""url"":""https://www.census.gov/library/stories/2025/09/technology-impact.html""},{""name"":""Netguru - AI Adoption Statistics 2025"",""url"":""https://www.netguru.com/blog/ai-adoption-statistics""}],""confidence"":""high""},{""id"":""11ff9278-5994-48a7-997a-c70966bcaa50"",""question"":""By how much did the global generative AI private investment increase from 2023 to 2024 (in percentage)?"",""category"":""Growth in generative AI investment"",""actualValue"":18.7,""sources"":[{""name"":""Stanford HAI - The 2025 AI Index Report"",""url"":""https://hai.stanford.edu/ai-index/2025-ai-index-report""},{""name"":""Netguru - AI Adoption Statistics in 2025"",""url"":""https://www.netguru.com/blog/ai-adoption-statistics""},{""name"":""GT Law - Global trends in AI investment and enterprise deployment"",""url"":""https://www.gtlaw.com.au/insights/global-trends-in-ai-investment-and-enterprise-deployment""}],""confidence"":""high""},{""id"":""53692658-e348-4ca3-a80e-c5d911ce3530"",""question"":""How many AI-enabled medical devices did the FDA approve in 2023?"",""category"":""AI in healthcare"",""actualValue"":221,""sources"":[{""name"":""MedTech Dive"",""url"":""https://www.medtechdive.com/news/fda-ai-medical-devices-growth/728975/""},{""name"":""Stanford HAI AI Index Report 2025"",""url"":""https://hai.stanford.edu/ai-index/2025-ai-index-report""},{""name"":""The Medical Futurist"",""url"":""https://medicalfuturist.com/the-current-state-of-fda-approved-ai-based-medical-devices/""}],""confidence"":""high""}]",2025-10-17T18:17:29.609Z
42ef6643-0d86-4369-850f-20ae64faf8b9,Prince Andrew,,"[{""id"":""d05ff5c6-907e-4f29-9e24-2fc494247f84"",""question"":""In what year did Prince Andrew retire from active service in the Royal Navy?"",""category"":""Military Career"",""actualValue"":2001,""sources"":[{""name"":""Wikipedia"",""url"":""https://en.wikipedia.org/wiki/Prince_Andrew,_Duke_of_York""},{""name"":""Kids Encyclopedia"",""url"":""https://kids.kiddle.co/Prince_Andrew,_Duke_of_York""},{""name"":""Britannica"",""url"":""https://www.britannica.com/biography/Andrew-duke-of-York""}],""confidence"":""high""},{""id"":""4d38a284-e8ab-4dca-930e-f7d7a2661eed"",""question"":""How many children does Prince Andrew have?"",""category"":""Family"",""actualValue"":2,""sources"":[{""name"":""Wikipedia - Prince Andrew, Duke of York"",""url"":""https://en.wikipedia.org/wiki/Prince_Andrew,_Duke_of_York""},{""name"":""Wikipedia - Duke of York"",""url"":""https://en.wikipedia.org/wiki/Duke_of_York""},{""name"":""ABC7"",""url"":""https://abc7.com/post/buckingham-palace-says-prince-andrew-stop-using-titles-honors-including-duke-york/18026867/""}],""confidence"":""high""},{""id"":""07607d08-695c-4aba-a880-70400531c388"",""question"":""On what date did Prince Andrew marry Sarah Ferguson?"",""category"":""Personal Life"",""actualValue"":23,""sources"":[{""name"":""Wikipedia - Wedding of Prince Andrew and Sarah Ferguson"",""url"":""https://en.wikipedia.org/wiki/Wedding_of_Prince_Andrew_and_Sarah_Ferguson""},{""name"":""Town & Country Magazine"",""url"":""https://www.townandcountrymag.com/society/tradition/g22657138/prince-andrew-sarah-ferguson-royal-wedding-1986-photos/""},{""name"":""Wikipedia - Sarah, Duchess of York"",""url"":""https://en.wikipedia.org/wiki/Sarah,_Duchess_of_York""},{""name"":""CCDR Collections"",""url"":""https://ccdrcollections.omeka.net/items/show/257""},{""name"":""British Royal Family Fandom"",""url"":""https://britishroyalfamily.fandom.com/wiki/Wedding_of_Andrew,_Duke_of_York,_and_Sarah_Ferguson""}],""confidence"":""high""},{""id"":""1e95475a-8bb5-42c4-b310-53d8e1674621"",""question"":""How old was Prince Andrew when he became a lieutenant in the Royal Navy?"",""category"":""Military Rank Progression"",""actualValue"":23,""sources"":[{""name"":""Wikipedia"",""url"":""https://en.wikipedia.org/wiki/Prince_Andrew,_Duke_of_York""},{""name"":""Britannica"",""url"":""https://www.britannica.com/biography/Andrew-duke-of-York""},{""name"":""Britroyals"",""url"":""https://www.britroyals.com/family.asp?id=andrew""}],""confidence"":""high""},{""id"":""baf0f2fa-529c-4bab-83bc-63daa5a6ca13"",""question"":""In what year did Prince Andrew step back from royal duties due to the Epstein scandal?"",""category"":""Public Role and Scandal"",""actualValue"":2019,""sources"":[{""name"":""Wikipedia: Prince Andrew & the Epstein Scandal"",""url"":""https://en.wikipedia.org/wiki/Prince_Andrew_&_the_Epstein_Scandal""},{""name"":""The Independent"",""url"":""https://www.the-independent.com/news/uk/home-news/prince-andrew-scandals-epstein-messages-timeline-b2689859.html""},{""name"":""BBC News (YouTube)"",""url"":""https://www.youtube.com/watch?v=QtBS8COhhhM""}],""confidence"":""high""}]",2025-10-17T18:19:14.565Z
6c386b9c-269d-49ec-b560-345986674634,test topic,,"[{""id"":""e75b756d-4667-4437-9421-136200d92bfc"",""question"":""What percentage of...?"",""category"":""statistics"",""actualValue"":1,""sources"":[],""confidence"":""n/a""},{""id"":""57f27c96-4bf6-4e78-8000-c83eaa100a42"",""question"":""How many...?"",""category"":""quantities"",""actualValue"":1,""sources"":[{""name"":""Wikipedia - List of fact-checking websites"",""url"":""https://en.wikipedia.org/wiki/List_of_fact-checking_websites""},{""name"":""Duke Reporters' Lab - Fact-Checking Sites Around the World"",""url"":""https://reporterslab.org/fact-checking/""},{""name"":""League of Women Voters - Reliable Sources for Fact Checking"",""url"":""https://my.lwv.org/michigan/copper-country/reliable-sources-fact-checking""}],""confidence"":""low""},{""id"":""49780c43-b178-4418-835d-f8ba994fac61"",""question"":""What is the current...?"",""category"":""current data"",""actualValue"":8,""sources"":[{""name"":""United Nations"",""url"":""https://www.un.org/""},{""name"":""World Bank"",""url"":""https://www.worldbank.org/""},{""name"":""U.S. Census Bureau"",""url"":""https://www.census.gov/""},{""name"":""World Population Prospects"",""url"":""https://population.un.org/wpp/""}],""confidence"":""high""},{""id"":""9e6771fa-8787-4df7-9b50-aab2b63128a8"",""question"":""How much does... cost?"",""category"":""economics"",""actualValue"":1,""sources"":[],""confidence"":""low""},{""id"":""c2b3171a-c24a-4d6d-80cd-3a2a48cc4ec5"",""question"":""What year did... happen?"",""category"":""timeline"",""actualValue"":1,""sources"":[{""name"":""UVA Library - P.R.O.V.E.N. Source Evaluation"",""url"":""https://guides.lib.virginia.edu/c.php?g=1152471&p=8740721""},{""name"":""USC Libraries - Evaluating Information Sources"",""url"":""https://libguides.usc.edu/psychology/evaluating""},{""name"":""Harvard Guide to Using Sources"",""url"":""https://usingsources.fas.harvard.edu/evaluating-sources-0""}],""confidence"":""low""}]",2025-10-17T18:21:29.556Z
217a6e5c-0490-4015-aff7-ab9160d89a1e,Immigration to the UK,,"[{""id"":""bb97d5c4-b9a8-4b47-96c2-d3305387dc5e"",""question"":""What was the net migration figure to the UK in 2024?"",""category"":""Net Migration Figures"",""actualValue"":2024,""sources"":[{""name"":""Office for National Statistics (ONS)"",""url"":""https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/internationalmigration/bulletins/longterminternationalmigrationprovisional/yearendingdecember2024""},{""name"":""Migration Observatory, University of Oxford"",""url"":""https://migrationobservatory.ox.ac.uk/press/net-migration-roller-coaster-ride-sees-record-fall-from-record-peak/""},{""name"":""ONS Blog"",""url"":""https://blog.ons.gov.uk/2025/05/22/taking-a-look-at-what-is-driving-the-fall-in-net-migration/""},{""name"":""BBC News"",""url"":""https://www.youtube.com/watch?v=KmkkfwHWKy4""},{""name"":""Migration Observatory Briefing"",""url"":""https://migrationobservatory.ox.ac.uk/resources/briefings/long-term-international-migration-flows-to-and-from-the-uk/""}],""confidence"":""high""},{""id"":""4be43b2b-eacb-4783-8aef-76db2763199a"",""question"":""What percentage of non-EU immigration in 2024 was for work and study purposes?"",""category"":""Immigration Purposes"",""actualValue"":2024,""sources"":[{""name"":""Migration Observatory (University of Oxford)"",""url"":""https://migrationobservatory.ox.ac.uk/resources/briefings/long-term-international-migration-flows-to-and-from-the-uk/""},{""name"":""Office for National Statistics (ONS)"",""url"":""https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/internationalmigration/bulletins/longterminternationalmigrationprovisional/yearendingdecember2024""},{""name"":""Migration Observatory (Press Release)"",""url"":""https://migrationobservatory.ox.ac.uk/press/migration-statistics-show-dramatic-fall-in-visas-granted-in-2024/""}],""confidence"":""high""},{""id"":""5b5ea228-7d30-4a7a-aa47-3724739e5013"",""question"":""How many non-EU immigrants arrived in the UK in 2024?"",""category"":""Immigration Numbers"",""actualValue"":766,""sources"":[{""name"":""Office for National Statistics (ONS) via EIN News"",""url"":""https://www.ein.org.uk/news/2024-sees-record-numerical-fall-net-migration-uk-latest-ons-estimates-show""},{""name"":""Migration Observatory, University of Oxford"",""url"":""https://migrationobservatory.ox.ac.uk/resources/briefings/long-term-international-migration-flows-to-and-from-the-uk/""},{""name"":""Office for National Statistics (ONS) official bulletin"",""url"":""https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/internationalmigration/bulletins/longterminternationalmigrationprovisional/yearendingdecember2024""}],""confidence"":""high""},{""id"":""57c75ef5-78b0-4eda-84b7-94436218a5e0"",""question"":""What was the decrease in the number of student dependants arriving in the UK between the year ending December 2023 and the year ending December 2024?"",""category"":""Student Immigration Trends"",""actualValue"":2023,""sources"":[{""name"":""Migration Observatory, University of Oxford"",""url"":""https://migrationobservatory.ox.ac.uk/press/migration-statistics-show-dramatic-fall-in-visas-granted-in-2024/""},{""name"":""GOV.UK - Immigration system statistics, year ending December 2024"",""url"":""https://www.gov.uk/government/statistics/immigration-system-statistics-year-ending-december-2024/why-do-people-come-to-the-uk-study""},{""name"":""ONS - Reason for international migration, international students update (May 2025)"",""url"":""https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/internationalmigration/articles/reasonforinternationalmigrationinternationalstudentsupdate/may2025""}],""confidence"":""high""},{""id"":""d68e4cb9-e8ef-454c-a254-ba2357bc8abb"",""question"":""What was the estimated reduction in visa grants due to policy changes announced by the Labour government in May 2025?"",""category"":""Immigration Policy Impact"",""actualValue"":2025,""sources"":[{""name"":""Migration Observatory, University of Oxford"",""url"":""https://migrationobservatory.ox.ac.uk/resources/commentaries/labours-pledges-on-migration-the-data/""},{""name"":""Macfarlanes"",""url"":""https://www.macfarlanes.com/what-we-think/102eli5/navigating-the-new-skill-levels-for-the-uk-skilled-worker-visa-102lq1m/""},{""name"":""Centuro Global"",""url"":""https://www.centuroglobal.com/article/uk-immigration-2025-changes/""}],""confidence"":""high""}]",2025-10-17T18:28:10.466Z
30f1e7e1-8440-4c81-8a98-59e05bd88e5b,Immigration to the UK,,"[{""id"":""944e3004-9d69-4f82-a868-40ea579abdc9"",""question"":""What was the estimated net migration to the UK for the year ending December 2024?"",""category"":""Net migration levels"",""actualValue"":431,""sources"":[{""name"":""Office for National Statistics"",""url"":""https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/internationalmigration/bulletins/longterminternationalmigrationprovisional/yearendingdecember2024""},{""name"":""Migration Observatory at the University of Oxford"",""url"":""https://migrationobservatory.ox.ac.uk/press/net-migration-roller-coaster-ride-sees-record-fall-from-record-peak/""},{""name"":""Economic Insights Network"",""url"":""https://www.ein.org.uk/news/2024-sees-record-numerical-fall-net-migration-uk-latest-ons-estimates-show""},{""name"":""Migration Observatory - Long-term Migration Briefing"",""url"":""https://migrationobservatory.ox.ac.uk/resources/briefings/long-term-international-migration-flows-to-and-from-the-uk/""}],""confidence"":""high""},{""id"":""9d0d7007-c3b0-4f68-8a24-3985d40c2854"",""question"":""By what percentage did immigration for work (main applicants) decrease in the UK in 2024 compared to the previous year?"",""category"":""Work-related immigration trends"",""actualValue"":37,""sources"":[{""name"":""UK Government - Immigration System Statistics"",""url"":""https://www.gov.uk/government/statistics/immigration-system-statistics-year-ending-december-2024/why-do-people-come-to-the-uk-work""},{""name"":""Office for National Statistics - Long-term International Migration"",""url"":""https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/internationalmigration/bulletins/longterminternationalmigrationprovisional/yearendingdecember2024""},{""name"":""Migration Observatory at University of Oxford"",""url"":""https://migrationobservatory.ox.ac.uk/press/migration-statistics-show-dramatic-fall-in-visas-granted-in-2024/""}],""confidence"":""high""},{""id"":""ab3e8568-2dd0-4ed6-9cfe-76ea51d68192"",""question"":""What proportion of non-EU immigration to the UK in 2024 was for work and study purposes combined?"",""category"":""Non-EU immigration reasons"",""actualValue"":69,""sources"":[{""name"":""Migration Observatory, University of Oxford"",""url"":""https://migrationobservatory.ox.ac.uk/resources/briefings/long-term-international-migration-flows-to-and-from-the-uk/""},{""name"":""Office for National Statistics (via EIN News)"",""url"":""https://www.ein.org.uk/news/2024-sees-record-numerical-fall-net-migration-uk-latest-ons-estimates-show""},{""name"":""GOV.UK – Immigration system statistics (Year ending December 2024)"",""url"":""https://www.gov.uk/government/statistics/immigration-system-statistics-year-ending-december-2024/summary-of-latest-statistics""}],""confidence"":""high""},{""id"":""31067144-921c-43de-9473-265df8b2e2b2"",""question"":""Which nationality accounted for the largest share of overall immigration to the UK in 2024, and what was their approximate percentage share?"",""category"":""Immigrant nationalities"",""actualValue"":24,""sources"":[{""name"":""Migration Observatory"",""url"":""https://migrationobservatory.ox.ac.uk/resources/briefings/who-migrates-to-the-uk-and-why/""},{""name"":""Statista"",""url"":""https://www.statista.com/statistics/284038/immigration-figures-uk-by-citizenship/""},{""name"":""GOV.UK"",""url"":""https://www.gov.uk/government/statistics/immigration-system-statistics-year-ending-december-2024/summary-of-latest-statistics""}],""confidence"":""medium""},{""id"":""daf0f264-7e5b-4adc-85cf-730f74394bf1"",""question"":""As of the fourth quarter of 2025, what percentage of people in the UK considered immigration to be an important issue?"",""category"":""Public opinion on immigration"",""actualValue"":2025,""sources"":[{""name"":""Statista"",""url"":""https://www.statista.com/statistics/649683/immigration-as-an-issue-gb/""},{""name"":""Ipsos Issues Index"",""url"":""https://www.ipsos.com/en-uk/public-concern-about-immigration-reaches-highest-level-decade""},{""name"":""Migration Observatory"",""url"":""https://migrationobservatory.ox.ac.uk/resources/briefings/uk-public-opinion-toward-immigration-overall-attitudes-and-level-of-concern/""}],""confidence"":""medium""}]",2025-10-17T18:35:42.034Z
09197b08-38e1-470d-837d-e5b559c3fb07,deforestation in amazon,,"[{""id"":""20d89657-bb5b-4a40-aaf7-3b1077190104"",""question"":""What percentage increase in deforestation occurred in the Amazon in January 2025 compared to the same period last year?"",""category"":""Deforestation Rate"",""actualValue"":68,""sources"":[{""name"":""Imazon"",""url"":""https://imazon.org.br/en/imprensa/2025-begins-with-68-increase-in-amazon-deforestation/""},{""name"":""Mongabay"",""url"":""https://news.mongabay.com/2025/07/amazon-deforestation-spikes-as-brazil-blames-criminal-fires/""},{""name"":""MODIS (NASA)"",""url"":""https://modis.gsfc.nasa.gov/gallery/individual.php?db_date=2025-07-20""}],""confidence"":""high"",""expectedDataType"":""percentage"",""sliderConfig"":{""min"":0,""max"":100,""step"":1,""unit"":""%"",""labels"":{""min"":""0%"",""max"":""100%""}}},{""id"":""c830d8b9-d8e9-4df0-bb63-7880298530de"",""question"":""How many square kilometers of forest were destroyed in the Amazon in January 2025?"",""category"":""Deforestation Area"",""actualValue"":133,""sources"":[{""name"":""The Rio Times"",""url"":""https://www.riotimesonline.com/amazon-deforestation-surges-68-in-january-2025-raising-alarms/""},{""name"":""Imazon"",""url"":""https://imazon.org.br/en/imprensa/2025-begins-with-68-increase-in-amazon-deforestation/""},{""name"":""Statista"",""url"":""https://www.statista.com/statistics/1030359/brazil-amazon-deforested-area-month/""}],""confidence"":""high"",""expectedDataType"":""number"",""sliderConfig"":{""min"":0,""max"":200,""step"":1,""unit"":""km²"",""labels"":{""min"":""0 km²"",""max"":""200 km²""}}},{""id"":""831b48c8-1435-4ceb-b23b-e8ee7c4cf9d4"",""question"":""What percentage of forest loss in the Brazilian Amazon is linked to illegal activities?"",""category"":""Illegal Deforestation"",""actualValue"":91,""sources"":[{""name"":""World Resources Institute (WRI)"",""url"":""https://www.wri.org/insights/nature-crime-amazon-deforestation""},{""name"":""Forest Trends"",""url"":""https://www.forest-trends.org/idat_countries/brazil/""},{""name"":""InfoAmazonia"",""url"":""https://infoamazonia.org/en/2023/03/21/deforestation-in-the-amazon-past-present-and-future/""}],""confidence"":""high"",""expectedDataType"":""percentage"",""sliderConfig"":{""min"":0,""max"":100,""step"":1,""unit"":""%"",""labels"":{""min"":""0%"",""max"":""100%""}}},{""id"":""8af37308-f0aa-4a38-8e02-48ee76e0d991"",""question"":""How many hectares of Brazil's Amazon have burned from January to July 2025?"",""category"":""Amazon Fires"",""actualValue"":2025,""sources"":[{""name"":""Mongabay"",""url"":""https://news.mongabay.com/2025/07/amazon-deforestation-spikes-as-brazil-blames-criminal-fires/""},{""name"":""UPI"",""url"":""https://www.upi.com/Top_News/World-News/2025/07/15/brazil-amazon-rainforest-deforestation/2301752594266/""},{""name"":""France24"",""url"":""https://www.france24.com/en/live-news/20250820-brazil-records-65-percent-drop-in-amazon-area-burned-by-fire""}],""confidence"":""high"",""expectedDataType"":""number"",""sliderConfig"":{""min"":0,""max"":2000,""step"":10,""unit"":""thousand hectares"",""labels"":{""min"":""0 thousand hectares"",""max"":""2000 thousand hectares""}}},{""id"":""9cc7ffba-ee42-4118-aff8-2c03d49da4dc"",""question"":""By what year could more than half of the Amazon be at risk due to deforestation and climate change?"",""category"":""Future Deforestation Risk"",""actualValue"":2036,""sources"":[{""name"":""Amazon Frontlines - The Tipping Point: Is the Amazon Rainforest Approaching a Point of No Return?"",""url"":""https://amazonfrontlines.org/chronicles/the-tipping-point-is-the-amazon-rainforest-approaching-a-point-of-no-return/""},{""name"":""Yale Environment 360 - The Amazon Rainforest Approaches a Point of No Return"",""url"":""https://e360.yale.edu/features/2025-film-contest-third-place-amazon-tipping-point""},{""name"":""InfoAmazonia - Deforestation in the Amazon: past, present and future"",""url"":""https://infoamazonia.org/en/2023/03/21/deforestation-in-the-amazon-past-present-and-future/""},{""name"":""Nature Communications - How climate change and deforestation interact in the transformation"",""url"":""https://www.nature.com/articles/s41467-025-63156-0""}],""confidence"":""high"",""expectedDataType"":""year"",""sliderConfig"":{""min"":2000,""max"":2060,""step"":1,""unit"":"""",""labels"":{""min"":""2000"",""max"":""2060""}}}]",2025-10-17T20:38:41.968Z
725575b3-ddb8-4f8c-90e7-4621f4113d22,test topic,,"[{""id"":""9b3b785a-c02b-4d15-9ae3-09b1c2b84f2f"",""question"":""What percentage of...?"",""category"":""statistics"",""actualValue"":1,""sources"":[{""name"":""Perplexity Search"",""url"":""https://perplexity.ai""}],""confidence"":""low"",""expectedDataType"":""percentage"",""sliderConfig"":{""min"":0,""max"":100,""step"":1,""unit"":""%"",""labels"":{""min"":""0%"",""max"":""100%""}},""rawAnswer"":""Data not available"",""needsReview"":true},{""id"":""ab368738-945d-4771-a1d0-9d26df26b445"",""question"":""How many...?"",""category"":""quantities"",""actualValue"":1,""sources"":[{""name"":""Perplexity Search"",""url"":""https://perplexity.ai""}],""confidence"":""low"",""expectedDataType"":""number"",""sliderConfig"":{""min"":0,""max"":1000,""step"":1,""unit"":"""",""labels"":{""min"":""0"",""max"":""1000""}},""rawAnswer"":""Data not available"",""needsReview"":true},{""id"":""3bbd215b-fb0e-4f7b-ab1f-12d0814d696e"",""question"":""What is the current...?"",""category"":""current data"",""actualValue"":1,""sources"":[{""name"":""Perplexity Search"",""url"":""https://perplexity.ai""}],""confidence"":""low"",""expectedDataType"":""number"",""sliderConfig"":{""min"":0,""max"":100,""step"":1,""unit"":"""",""labels"":{""min"":""0"",""max"":""100""}},""rawAnswer"":""Data not available"",""needsReview"":true},{""id"":""631f63f9-0817-401a-bccb-0be7c47c69ae"",""question"":""How much does... cost?"",""category"":""economics"",""actualValue"":1,""sources"":[{""name"":""Perplexity Search"",""url"":""https://perplexity.ai""}],""confidence"":""low"",""expectedDataType"":""currency"",""sliderConfig"":{""min"":0,""max"":1000,""step"":1,""unit"":""$"",""labels"":{""min"":""$0"",""max"":""$1000""}},""rawAnswer"":""Data not available"",""needsReview"":true},{""id"":""26ff6af5-73d7-4062-a5f8-529904e76d2c"",""question"":""What year did... happen?"",""category"":""timeline"",""actualValue"":1,""sources"":[{""name"":""Perplexity Search"",""url"":""https://perplexity.ai""}],""confidence"":""low"",""expectedDataType"":""year"",""sliderConfig"":{""min"":1900,""max"":2030,""step"":1,""unit"":"""",""labels"":{""min"":""1900"",""max"":""2030""}},""rawAnswer"":""Data not available"",""needsReview"":true}]",2025-10-17T20:53:47.395Z
e49ec37e-635c-41bd-b05c-bd204960f166,how many goals different footballers score,,"[{""id"":""fc73c7b4-db0d-491b-b79b-35e152f9414b"",""question"":""What percentage of...?"",""category"":""statistics"",""actualValue"":1,""sources"":[{""name"":""Perplexity Search"",""url"":""https://perplexity.ai""}],""confidence"":""low"",""expectedDataType"":""percentage"",""sliderConfig"":{""min"":0,""max"":100,""step"":1,""unit"":""%"",""labels"":{""min"":""0%"",""max"":""100%""}},""rawAnswer"":""Data not available"",""needsReview"":true},{""id"":""ef9e2da8-c658-4ec5-b3fa-55537ff5bc21"",""question"":""How many...?"",""category"":""quantities"",""actualValue"":1,""sources"":[{""name"":""Perplexity Search"",""url"":""https://perplexity.ai""}],""confidence"":""low"",""expectedDataType"":""number"",""sliderConfig"":{""min"":0,""max"":1000,""step"":1,""unit"":"""",""labels"":{""min"":""0"",""max"":""1000""}},""rawAnswer"":""Data not available"",""needsReview"":true},{""id"":""9ec7ca90-1e2d-4ce6-a622-8c350c551d7e"",""question"":""What is the current...?"",""category"":""current data"",""actualValue"":1,""sources"":[{""name"":""Perplexity Search"",""url"":""https://perplexity.ai""}],""confidence"":""low"",""expectedDataType"":""number"",""sliderConfig"":{""min"":0,""max"":100,""step"":1,""unit"":"""",""labels"":{""min"":""0"",""max"":""100""}},""rawAnswer"":""Data not available"",""needsReview"":true},{""id"":""ecbcdc9f-1946-41fb-b2f2-a6b2d0394c87"",""question"":""How much does... cost?"",""category"":""economics"",""actualValue"":1,""sources"":[{""name"":""Perplexity Search"",""url"":""https://perplexity.ai""}],""confidence"":""low"",""expectedDataType"":""currency"",""sliderConfig"":{""min"":0,""max"":1000,""step"":1,""unit"":""$"",""labels"":{""min"":""$0"",""max"":""$1000""}},""rawAnswer"":""Data not available"",""needsReview"":true},{""id"":""ce30fa93-9cfc-4d98-816a-6dc259e56110"",""question"":""What year did... happen?"",""category"":""timeline"",""actualValue"":1,""sources"":[{""name"":""Perplexity Search"",""url"":""https://perplexity.ai""}],""confidence"":""low"",""expectedDataType"":""year"",""sliderConfig"":{""min"":1900,""max"":2030,""step"":1,""unit"":"""",""labels"":{""min"":""1900"",""max"":""2030""}},""rawAnswer"":""Data not available"",""needsReview"":true}]",2025-10-17T20:55:24.046Z
2c302164-1cd9-4068-a35f-992163871a8e,AI development,,"[{""id"":""d645f9b2-284a-4047-923f-ce07c25f3415"",""question"":""What percentage of...?"",""category"":""statistics"",""actualValue"":1,""sources"":[{""name"":""Perplexity Search"",""url"":""https://perplexity.ai""}],""confidence"":""low"",""expectedDataType"":""percentage"",""sliderConfig"":{""min"":0,""max"":100,""step"":1,""unit"":""%"",""labels"":{""min"":""0%"",""max"":""100%""}},""rawAnswer"":""Data not available"",""needsReview"":true},{""id"":""b0cd1a89-e40f-4f77-a0de-ca5593fb8cef"",""question"":""How many...?"",""category"":""quantities"",""actualValue"":1,""sources"":[{""name"":""Perplexity Search"",""url"":""https://perplexity.ai""}],""confidence"":""low"",""expectedDataType"":""number"",""sliderConfig"":{""min"":0,""max"":1000,""step"":1,""unit"":"""",""labels"":{""min"":""0"",""max"":""1000""}},""rawAnswer"":""Data not available"",""needsReview"":true},{""id"":""e24fb8ed-ca95-4542-8068-7bce53f7c1fa"",""question"":""What is the current...?"",""category"":""current data"",""actualValue"":1,""sources"":[{""name"":""Perplexity Search"",""url"":""https://perplexity.ai""}],""confidence"":""low"",""expectedDataType"":""number"",""sliderConfig"":{""min"":0,""max"":100,""step"":1,""unit"":"""",""labels"":{""min"":""0"",""max"":""100""}},""rawAnswer"":""Data not available"",""needsReview"":true},{""id"":""bc9db746-b726-466c-b59b-b79847626b1c"",""question"":""How much does... cost?"",""category"":""economics"",""actualValue"":1,""sources"":[{""name"":""Perplexity Search"",""url"":""https://perplexity.ai""}],""confidence"":""low"",""expectedDataType"":""currency"",""sliderConfig"":{""min"":0,""max"":1000,""step"":1,""unit"":""$"",""labels"":{""min"":""$0"",""max"":""$1000""}},""rawAnswer"":""Data not available"",""needsReview"":true},{""id"":""28b6577d-501f-440d-8cec-d94a0c1075fe"",""question"":""What year did... happen?"",""category"":""timeline"",""actualValue"":1,""sources"":[{""name"":""Perplexity Search"",""url"":""https://perplexity.ai""}],""confidence"":""low"",""expectedDataType"":""year"",""sliderConfig"":{""min"":1900,""max"":2030,""step"":1,""unit"":"""",""labels"":{""min"":""1900"",""max"":""2030""}},""rawAnswer"":""Data not available"",""needsReview"":true}]",2025-10-17T20:56:23.259Z
